ID,Estado,Codigo,EAN,Nombre,Unidad,Categoria,Precio Base,Sucursal Dueña,Sucursal (Stock/Precio),Stock Actual,Stock Minimo,Precio Venta,Diferencia Precio (Base vs Venta)
cmlfprpvr000klb04njhjz0ho,Activo,"INT1770674315451","7792798013975","stella artois x710cm3",Un,"bebidas",6000,"Global","Suc. Rivadavia",18,6,6000,0
cmlfprpvr000klb04njhjz0ho,Activo,"INT1770674315451","7792798013975","stella artois x710cm3",Un,"bebidas",6000,"Global","Suc. Perito Moreno",0,6,6000,0
cmlfpllbj000fl704h0uoy6wb,Activo,"INT1770674029615","7790314063824","vino tinto toro x1l",Un,"bebidas",4000,"Global","Suc. Cepernic",38,6,4000,0
cmlfpllbj000fl704h0uoy6wb,Activo,"INT1770674029615","7790314063824","vino tinto toro x1l",Un,"bebidas",4000,"Global","Suc. Rivadavia",25,6,4000,0
cmlfpllbj000fl704h0uoy6wb,Activo,"INT1770674029615","7790314063824","vino tinto toro x1l",Un,"bebidas",4000,"Global","Suc. Perito Moreno",0,6,4000,0
cmlfrobjv0000lb04j5t1jcuj,Activo,"INT1770677516154","7798135763732","vodka arandanos y uva x1l",Un,"bebidas",10000,"Global","Suc. Cepernic",0,6,10000,0
cmlfrobjv0000lb04j5t1jcuj,Activo,"INT1770677516154","7798135763732","vodka arandanos y uva x1l",Un,"bebidas",10000,"Global","Suc. Rivadavia",1,6,10000,0
cmlfrobjv0000lb04j5t1jcuj,Activo,"INT1770677516154","7798135763732","vodka arandanos y uva x1l",Un,"bebidas",10000,"Global","Suc. Perito Moreno",0,6,10000,0
cmlihi4el0003kz04c6ts2dsf,Activo,"INT1770841829324","7798126073871","magdalenas Gaona naranja c/chips",Un,"kiosco",2500,"Global","Suc. Cepernic",0,0,2500,0
cmlihi4el0003kz04c6ts2dsf,Activo,"INT1770841829324","7798126073871","magdalenas Gaona naranja c/chips",Un,"kiosco",2500,"Global","Suc. Rivadavia",0,0,2500,0
cmlihi4el0003kz04c6ts2dsf,Activo,"INT1770841829324","7798126073871","magdalenas Gaona naranja c/chips",Un,"kiosco",2500,"Global","Suc. Perito Moreno",0,0,2500,0
cmliekhfg0000i6095jv7gvjm,Activo,"INT1770836900667","7797942007794","juan d´ juana malbec x750ml",Un,"bebidas",12000,"Global","Suc. Cepernic",5,6,12000,0
cmliekhfg0000i6095jv7gvjm,Activo,"INT1770836900667","7797942007794","juan d´ juana malbec x750ml",Un,"bebidas",12000,"Global","Suc. Rivadavia",3,6,12000,0
cmliekhfg0000i6095jv7gvjm,Activo,"INT1770836900667","7797942007794","juan d´ juana malbec x750ml",Un,"bebidas",12000,"Global","Suc. Perito Moreno",0,6,12000,0
cmlieih5y0017l2044g9tivwu,Activo,"INT1770836807013","7790607002141","alfredo roca x750ml",Un,"bebidas",30000,"Global","Suc. Cepernic",0,6,30000,0
cmlieih5y0017l2044g9tivwu,Activo,"INT1770836807013","7790607002141","alfredo roca x750ml",Un,"bebidas",30000,"Global","Suc. Rivadavia",1,6,30000,0
cmlieih5y0017l2044g9tivwu,Activo,"INT1770836807013","7790607002141","alfredo roca x750ml",Un,"bebidas",30000,"Global","Suc. Perito Moreno",0,6,30000,0
cmliedknh0014l204jtrjrror,Activo,"INT1770836578252","7798353194653","cordero con piel de lobo malbec x750ml",Un,"bebidas",12000,"Global","Suc. Cepernic",0,6,12000,0
cmliedknh0014l204jtrjrror,Activo,"INT1770836578252","7798353194653","cordero con piel de lobo malbec x750ml",Un,"bebidas",12000,"Global","Suc. Rivadavia",0,6,12000,0
cmliedknh0014l204jtrjrror,Activo,"INT1770836578252","7798353194653","cordero con piel de lobo malbec x750ml",Un,"bebidas",12000,"Global","Suc. Perito Moreno",0,6,12000,0
cmlieh8cx0000l204pi98lw15,Activo,"INT1770836748944","7790975198613","chandon extra brut x750ml",Un,"bebidas",30000,"Global","Suc. Cepernic",0,6,30000,0
cmlieh8cx0000l204pi98lw15,Activo,"INT1770836748944","7790975198613","chandon extra brut x750ml",Un,"bebidas",30000,"Global","Suc. Rivadavia",1,6,30000,0
cmlieh8cx0000l204pi98lw15,Activo,"INT1770836748944","7790975198613","chandon extra brut x750ml",Un,"bebidas",30000,"Global","Suc. Perito Moreno",0,6,30000,0
cmlibeql20000jp04flexul9e,Activo,"INT1770831593749","7790580716806","saladix sabor calabresa x100g",Un,"kiosco",2000,"Global","Suc. Cepernic",-2,3,2000,0
cmlibeql20000jp04flexul9e,Activo,"INT1770831593749","7790580716806","saladix sabor calabresa x100g",Un,"kiosco",2000,"Global","Suc. Rivadavia",2,3,2000,0
cmlibeql20000jp04flexul9e,Activo,"INT1770831593749","7790580716806","saladix sabor calabresa x100g",Un,"kiosco",2000,"Global","Suc. Perito Moreno",0,3,2000,0
cmlidlsv7000gjm04ha27awrz,Activo,"INT1770835282530","7798125810354","cintas crocantes sabor clasica x125g",Un,"kiosco",2000,"Global","Suc. Cepernic",0,2,2000,0
cmlidlsv7000gjm04ha27awrz,Activo,"INT1770835282530","7798125810354","cintas crocantes sabor clasica x125g",Un,"kiosco",2000,"Global","Suc. Rivadavia",2,2,2000,0
cmlidlsv7000gjm04ha27awrz,Activo,"INT1770835282530","7798125810354","cintas crocantes sabor clasica x125g",Un,"kiosco",2000,"Global","Suc. Perito Moreno",0,2,2000,0
cmlihnfbq0000if04dlel3yyh,Activo,"INT1770842076758","7798125811221","Cintitas sabor ketchup",Un,"kiosco",2000,"Global","Suc. Cepernic",2,0,2000,0
cmlihnfbq0000if04dlel3yyh,Activo,"INT1770842076758","7798125811221","Cintitas sabor ketchup",Un,"kiosco",2000,"Global","Suc. Rivadavia",0,0,2000,0
cmlihnfbq0000if04dlel3yyh,Activo,"INT1770842076758","7798125811221","Cintitas sabor ketchup",Un,"kiosco",2000,"Global","Suc. Perito Moreno",0,0,2000,0
cmljutwnz0000lb04sn3vco6e,Activo,"INT1770924680350","7798428130050","ARROZ RENDIDOR",Un,"kiosco",5000,"Global","Suc. Cepernic",1,0,5000,0
cmljutwnz0000lb04sn3vco6e,Activo,"INT1770924680350","7798428130050","ARROZ RENDIDOR",Un,"kiosco",5000,"Global","Suc. Rivadavia",0,0,5000,0
cmljutwnz0000lb04sn3vco6e,Activo,"INT1770924680350","7798428130050","ARROZ RENDIDOR",Un,"kiosco",5000,"Global","Suc. Perito Moreno",0,0,5000,0
cmljuweg10003lb046p3zrnlx,Activo,"INT1770924796704","7792180140708","HARINA LEUDANTE PUREZA",Un,"General",3000,"Global","Suc. Cepernic",1,0,3000,0
cmljuweg10003lb046p3zrnlx,Activo,"INT1770924796704","7792180140708","HARINA LEUDANTE PUREZA",Un,"General",3000,"Global","Suc. Rivadavia",0,0,3000,0
cmljuweg10003lb046p3zrnlx,Activo,"INT1770924796704","7792180140708","HARINA LEUDANTE PUREZA",Un,"General",3000,"Global","Suc. Perito Moreno",0,0,3000,0
cmljvnhzo0000l709xpyqjhbe,Activo,"INT1770926061012","7896306609817","chicle blong sabor tutti frutti",Un,"General",100,"Global","Suc. Cepernic",0,50,100,0
cmljvnhzo0000l709xpyqjhbe,Activo,"INT1770926061012","7896306609817","chicle blong sabor tutti frutti",Un,"General",100,"Global","Suc. Rivadavia",90,50,100,0
cmljvnhzo0000l709xpyqjhbe,Activo,"INT1770926061012","7896306609817","chicle blong sabor tutti frutti",Un,"General",100,"Global","Suc. Perito Moreno",0,50,100,0
cmlfnm8od0003l704whi583na,Activo,"INT1770670700653","7798113302113","JUGO PLACER POMELO 1,5L",Un,"bebidas",2500,"Global","Suc. Cepernic",5,6,2500,0
cmlfnm8od0003l704whi583na,Activo,"INT1770670700653","7798113302113","JUGO PLACER POMELO 1,5L",Un,"bebidas",2500,"Global","Suc. Rivadavia",6,6,2500,0
cmlfnm8od0003l704whi583na,Activo,"INT1770670700653","7798113302113","JUGO PLACER POMELO 1,5L",Un,"bebidas",2500,"Global","Suc. Perito Moreno",0,6,2500,0
cmlmmv3cr0005l5040jf2dtx6,Activo,"INT1771092697264","6974766030974","libretas de capybara ",Un,"kiosco",5000,"Global","Suc. Cepernic",0,3,5000,0
cmlmmv3cr0005l5040jf2dtx6,Activo,"INT1771092697264","6974766030974","libretas de capybara ",Un,"kiosco",5000,"Global","Suc. Rivadavia",5,3,5000,0
cmlmmv3cr0005l5040jf2dtx6,Activo,"INT1771092697264","6974766030974","libretas de capybara ",Un,"kiosco",5000,"Global","Suc. Perito Moreno",0,3,5000,0
cmlmmtnum0000l5044r6ldh8m,Activo,"INT1771092630525","6971109111284","libretas de kuromi ",Un,"kiosco",5000,"Global","Suc. Cepernic",0,3,5000,0
cmlmmtnum0000l5044r6ldh8m,Activo,"INT1771092630525","6971109111284","libretas de kuromi ",Un,"kiosco",5000,"Global","Suc. Rivadavia",1,3,5000,0
cmlmmtnum0000l5044r6ldh8m,Activo,"INT1771092630525","6971109111284","libretas de kuromi ",Un,"kiosco",5000,"Global","Suc. Perito Moreno",0,3,5000,0
